Survey month,Real Business Class,Real Full Economy,Real Restricted Economy,Real Best Discount,
Jul 2014,90.4,116.1,75.4,55.6,
Aug 2014,92.4,116.1,75.5,55.7,
Sep 2014,86.3,116.2,77.0,61.8,
Oct 2014,87.4,117.7,76.0,59.5,
Nov 2014,88.6,120.0,76.3,62.4,
Dec 2014,90.1,120.5,77.5,72.2,
Jan 2015,89.7,120.1,76.3,61.0,
Feb 2015,89.6,120.1,77.2,64.9,
Mar 2015,89.7,,76.4,65.2,
Apr 2015,90.9,,77.6,54.9,
,,,,,
,,,,,
,,,,,
