Date,Arrivals,Departures,Exchange rate
Nov-99,382300,274400,0.6376
Dec-99,381500,274700,0.6538
Jan-00,383600,276600,0.6382
Feb-00,389100,279600,0.6143
Mar-00,396900,282600,0.6055
Apr-00,403700,285100,0.5909
May-00,406900,287000,0.5735
Jun-00,406000,289000,0.5986
Jul-00,404300,291200,0.5822
Aug-00,404100,294500,0.5748
Sep-00,406900,298400,0.5433
Oct-00,411500,302100,0.5148
Nov-00,416600,304500,0.5227
Dec-00,420000,304700,0.554
1-Jan,421200,303700,0.5466
1-Feb,420300,302100,0.525
1-Mar,418800,300900,0.489
1-Apr,418500,300200,0.5088
1-May,419800,300200,0.51
1-Jun,420300,299900,0.5075
1-Jul,417700,294200,0.5041
1-Aug,411700,289900,0.5342
1-Sep,403700,284200,0.4923
1-Oct,396000,278900,0.5053
1-Nov,390500,275400,0.52
1-Dec,389100,274600,0.5106
2-Jan,392000,276100,0.5078
2-Feb,397000,279500,0.5164
2-Mar,401600,283800,0.5316
2-Apr,403600,287500,0.5397
2-May,403200,290200,0.5674
2-Jun,402300,291700,0.5648
2-Jul,402400,292600,0.5478
2-Aug,403400,292900,0.5532
2-Sep,405300,293000,0.5435
2-Oct,407000,293500,0.5534
2-Nov,406900,286000,0.5608
2-Dec,404700,288200,0.5662
3-Jan,401200,289900,0.5884
3-Feb,398700,290500,0.6054
3-Mar,398200,290000,0.6036
3-Apr,400300,289800,0.623
3-May,404900,290500,0.6522
3-Jun,410200,292700,0.6674
3-Jul,416000,296200,0.6529
3-Aug,421300,300600,0.64
3-Sep,425200,305300,0.6801
3-Oct,427100,309900,0.7046
3-Nov,427300,314700,0.7206
3-Dec,426100,333400,0.75
4-Jan,424300,338900,0.7644
4-Feb,423400,344500,0.7708
4-Mar,424500,349600,0.7589
4-Apr,427400,353500,0.722
4-May,430600,356300,0.7143
4-Jun,433000,358400,0.6889
4-Jul,434300,360000,0.6986
4-Aug,435100,363200,0.7011
4-Sep,437000,367900,0.7147
4-Oct,440500,373800,0.7461
4-Nov,445400,379700,0.7775
4-Dec,450300,384300,0.779
5-Jan,453500,387300,0.7744
5-Feb,454200,388900,0.7905
5-Mar,453500,389800,0.7719
5-Apr,452700,391500,0.7811
5-May,453500,393900,0.7557
5-Jun,455200,396600,0.7637
5-Jul,456500,398900,0.7595
5-Aug,456800,400400,0.7471
5-Sep,456200,401500,0.7615
5-Oct,455000,391500,0.7487
5-Nov,453900,392000,0.7389
5-Dec,453600,392500,0.7337
6-Jan,453800,393600,0.751
6-Feb,454200,395500,0.7382
6-Mar,453600,398700,0.7159
6-Apr,451800,402200,0.7542
6-May,450200,406000,0.7636
6-Jun,449900,409300,0.7433
6-Jul,451700,411300,0.7658
6-Aug,455200,412000,0.7627
6-Sep,459100,411800,0.748
6-Oct,462800,411800,0.7692
6-Nov,465900,412800,0.785
6-Dec,467800,423300,0.7913
7-Jan,468900,426500,0.772
7-Feb,469000,430800,0.788
7-Mar,468700,436300,0.807
7-Apr,468400,442400,0.8268
7-May,468300,447900,0.8244
7-Jun,468200,452100,0.8487
7-Jul,468100,455500,0.8572
7-Aug,467700,458600,0.8214
7-Sep,466700,462100,0.8827
7-Oct,465000,466100,0.9216
7-Nov,462200,469800,0.8865
7-Dec,459500,473500,0.8816
8-Jan,457900,477200,0.8884
8-Feb,458300,480200,0.9466
8-Mar,461200,482200,0.918
8-Apr,464600,483400,0.9337
8-May,466500,484100,0.9559
8-Jun,465400,484200,0.9626
8-Jul,461100,484300,0.9434
8-Aug,454700,484000,0.8639
8-Sep,448500,483700,0.7996
8-Oct,444100,483700,0.668
8-Nov,443500,483500,0.6572
8-Dec,447000,482600,0.6928
9-Jan,453100,479900,0.6438
9-Feb,458600,475700,0.6454
9-Mar,461000,471100,0.6873
9-Apr,459700,512600,0.7265
9-May,456600,509800,0.7912
9-Jun,453400,510700,0.8114
9-Jul,452100,520600,0.8281
9-Aug,453500,529500,0.8393
9-Sep,457400,539300,0.8801
9-Oct,462600,548500,0.9161
9-Nov,467400,556000,0.9178
9-Dec,469900,561100,0.8969
10-Jan,470900,564300,0.8909
10-Feb,471500,567100,0.8899
10-Mar,472600,570400,0.9159
10-Apr,474800,575200,0.93
10-May,477900,581500,0.849
10-Jun,481700,588000,0.8523
